tick,theta1_rad,theta2_rad,x,y,ds2_total,target_term,obs_term,reg_term,grad_norm,C,S,ds2_CS,d_obs,delta_theta1,delta_theta2,delta_theta_sq
57,-0.5185070053051596,1.5393292889217436,1.2521026363866457,0.32125873856293574,0.05593430216938317,0.003166618683726268,0.0,0.052767683485656906,0.0018923335450792254,0,2,4,0.6886169310820606,0.00011770673917775961,-0.00019419181623364366,5.1565337939982356e-08
58,-0.5183892985659818,1.53913509710551,1.2522138156047367,0.32131477277019055,0.055933888318444674,0.0031806020782503028,0.0,0.052753286240194375,0.0017526515989896995,0,2,4,0.6887402194674059,0.00010900879884287436,-0.00017986334704432226,4.4233741835152554e-08
59,-0.5182802897671389,1.5389552337584658,1.2523167834886086,0.32136665779753815,0.055933533305504726,0.003193579900031057,0.0,0.05273995340547367,0.0016233142148209976,0,2,4,0.6888543991333559,0.00010095635637110259,-0.0001665951988649303,3.794614617657474e-08
60,-0.5181793334107678,1.5387886385596008,1.252412148813338,0.32141470277663525,0.05593322875292587,0.0032056228382431177,0.0,0.05272760591468275,0.001503550477475732,0,2,4,0.6889601458175232,9.350111526106569e-05,-0.0001543084689727331,3.2553562151772026e-08
61,-0.5180858322955068,1.538634330090628,1.252500474892967,0.32145919353854596,0.0559329674784871,0.0032167968513118254,0.0,0.05271617062717527,0.0013926476052113855,0,2,4,0.6890580847347272,8.659844821081231e-05,-0.00014293018799614642,2.79283298731345e-08
62,-0.517999233847296,1.538491399902632,1.252582283021613,0.32150039440805434,0.055932743324281824,0.003227163447466899,0.0,0.05270557987681492,0.0012899464697455295,0,2,4,0.689148794409904,8.020711050350057e-05,-0.00013239286502651188,2.3961051285248944e-08
63,-0.5179190267367925,1.5383590070376054,1.2526580556476068,0.32153854985445807,0.055932551010213716,0.0032367799544194345,0.0,0.05269577105579428,0.0011948374750442921,0,2,4,0.6892328102124353,7.428897688037006e-05,-0.00012263406882085824,2.0557966921491154e-08
64,-0.5178447377599121,1.5382363729687845,1.252728239302279,0.3215738860110586,0.055932386008532425,0.003245699777536548,0.0,0.05268668623099588,0.0011067567642241791,0,2,4,0.6893106276162401,6.880879982679291e-05,-0.00011359604206415991,1.7638711706246047e-08
65,-0.5177759289600853,1.5381227769267203,1.2527932473031327,0.32160661207443214,0.05593224443636962,0.0032539726461447284,0.0,0.05267827179022489,0.001025182726851803,0,2,4,0.689382705207838,6.37339873975061e-05,-0.00010522534593852773,1.51343945774683e-08
66,-0.5177121949726878,1.5380175515807817,1.2528534622494603,0.3216369215935351,0.05593212296367952,0.0032616448477999103,0.0,0.05267047811587961,0.000949632781474992,0,2,4,0.6894494674626751,5.903439889193923e-05,-9.747253249226262e-05,1.2985954842987789e-08
67,-0.5176531605737958,1.5379200790482894,1.2529092383268998,0.3216649936577973,0.05593201873436382,0.0032687594505250886,0.0,0.052663259283838734,0.0008796604105240225,0,2,4,0.6895113073082441,5.4682156845377305e-05,-9.029184253121075e-05,1.1142755104943404e-08
68,-0.5175984784169505,1.5378297872057582,1.2529609034360705,0.321690993992509,0.05593192929868485,0.003275356513147848,0.0,0.052656572785537,0.0008148524267639268,0,2,4,0.6895685884909754,5.0651473955844874e-05,-8.364092694790298e-05,9.561376474604074e-09
69,-0.5175478269429946,1.5377461462788105,1.2530087611591259,0.32171507596909643,0.055931852555343865,0.0032814732839688836,0.0,0.05265037927137498,0.0007548264523474686,0,2,4,0.6896216477624223,4.691849368366321e-05,-7.748058959513637e-05,8.204586813553899e-09
70,-0.517500908449311,1.5376686656892153,1.2530530925769412,0.3217373815371868,0.05593178670183701,0.003287144388070727,0.0,0.05264464231376628,0.0006992285931807478,0,2,4,0.6896707968989805,4.346114338666537e-05,-7.1774549967476e-05,7.0404570075099965e-09
71,-0.5174574473059242,1.537596891139248,1.253094157948587,0.3217580420847801,0.055931730191901445,0.003292402003632574,0.0,0.05263932818826887,0.0006477312928245485,0,2,4,0.6897163245681873,4.025899895003571e-05,-6.648922410797814e-05,6.041603918939918e-09
72,-0.5174171883069743,1.53753040191514,1.2531321982638022,0.321777179232289,0.05593168169903576,0.0032972760276592274,0.0,0.052634405671376526,0.0006000313515121652,0,2,4,0.689758498053585,3.7293159968004165e-05,-6.15935222883468e-05,5.184541768284222e-09
73,-0.5173798951470062,1.5374688083928516,1.2531674366782917,0.3217949055657259,0.05593164008522431,0.003301794231559068,0.0,0.052629845853665244,0.0005558480971089644,0,2,4,0.689797564849137,3.454613461357767e-05,-5.705866213748467e-05,4.449126341659055e-09
74,-0.5173453490123926,1.537411749730714,1.253200079840903,0.3218113253138555,0.0559316043741215,0.0033059824070253013,0.0,0.0526256219670962,0.0005149216959426593,0,2,4,0.6898337541333065,3.200173341412954e-05,-5.2857995998774604e-05,3.8180786825154865e-09
75,-0.5173133472789785,1.5373588917347152,1.2532303191209895,0.3218265349737416,0.05593157372805781,0.003309864502682348,0.0,0.05262170922537546,0.0004770115924596793,0,2,4,0.6898672781320813,2.9644971212762356e-05,-4.896685140279827e-05,3.276576854509236e-09
76,-0.5172837023077658,1.5373099248833124,1.2532583317436155,0.32184062388873824,0.05593154742832163,0.003313462751962326,0.0,0.052618084676359304,0.00044189506757706475,0,2,4,0.6898983333794888,2.746197666097419e-05,-4.536238363067823e-05,2.811906010784716e-09
